,open,close,high,low,volume,money
2021-07-01,22.81,23.2,23.5,22.52,66483330.0,1530548798.57
2021-07-02,22.72,21.81,22.74,21.76,107067756.0,2360189793.98
2021-07-05,21.69,22.06,22.15,21.09,85934129.0,1859394323.75
2021-07-06,22.08,22.78,23.0,21.85,79195726.0,1784792785.57
2021-07-07,22.68,22.55,23.05,22.5,46894487.0,1063910095.83
2021-07-08,22.78,21.51,22.78,21.2,145705947.0,3140657439.76
2021-07-09,21.3,21.27,21.63,21.02,76236474.0,1625461607.71
