file_name,total_open_price,average_open_price
/Users/pengde/Desktop/python/early_july.csv,156.06,22.29
/Users/pengde/Desktop/python/mid_july.csv,148.24,21.18
/Users/pengde/Desktop/python/late_july.csv,175.02,19.45
