,open,close,high,low,volume,money
2021-07-12,21.5,21.16,21.5,20.89,87790102.0,1859059510.48
2021-07-13,21.15,21.12,21.34,20.54,65761395.0,1382029130.11
2021-07-14,21.0,20.76,21.0,20.41,84795055.0,1755810875.16
2021-07-15,20.72,21.62,21.72,20.63,95600305.0,2040266258.59
2021-07-16,21.41,21.34,21.82,21.3,57300261.0,1230180813.02
2021-07-19,21.36,21.21,21.43,20.78,52213595.0,1098434741.86
2021-07-20,21.1,20.6,21.2,20.47,80403433.0,1665315545.53
