,open,close,high,low,volume,money
2021-07-20,21.1,20.6,21.2,20.47,80403433.0,1665315545.53
2021-07-21,20.58,20.45,20.8,20.2,75307652.0,1535327561.83
2021-07-22,20.45,20.38,20.66,20.24,86864809.0,1773999331.02
2021-07-23,20.38,20.1,20.38,20.0,72740433.0,1461467511.79
2021-07-26,19.96,18.8,19.99,18.43,145130394.0,2770236696.29
2021-07-27,18.87,17.76,18.99,17.6,135755148.0,2461708369.84
2021-07-28,17.85,17.75,18.07,17.68,106299421.0,1898562591.76
2021-07-29,17.91,17.96,18.24,17.78,87237812.0,1566107824.4
2021-07-30,17.92,17.69,18.05,17.24,95015588.0,1679747318.28
